ROM Start  |ROM End   |.text Start  |.data Start  |.bss Start  |.bss End
0x00043790  0x66630    0x8009b540    0x800be3e0    0x800d69c0    0x800f61a0    
0x0007ec10  0xac900    0x800f61a0    0x80123e90    0x801290d0    0x8012eaf0    
0x000f8630  0x1014f0   0x80151100    0x80159fc0    0x8015c680    0x8015c730    
0x00103bb0  0x12d410   0x8015c740    0x80185fa0    0x8018e020    0x8018ee60    
0x00135490  0x139150   0x80151100    0x80154dc0    0x8015a560    0x8015a7d0    
0x000b1b40  0xf0d50    0x80151100    0x80190310    0x80197bf0    0x80198870    
0x0013e8f0  0x168840   0x80198880    0x801c27d0    0x801ce6d0    0x801d0c60    
0x00174740  0x17b360   0x801d0c60    0x801d7880    0x801db1d0    0x801db1e0    
0x0017ecb0  0x1c9b00   0x801d0c60    0x8021bab0    0x8021df00    0x8021df10    
0x001cbf50  0x1e4160   0x801db1e0    0x801f33f0    0x801f4d30    0x801f4db0    
0x001e5aa0  0x1eb3c0   0x801db1e0    0x801e0b00    0x801e0c60    0x801e0c90    
0x001eb520  0x1f2de0   0x801db1e0    0x801e2aa0    0x801e2e20    0x801e2e30    
0x001f3160  0x1fda00   0x801db1e0    0x801e5a80    0x801e5e50    0x801e5e60    
0x001fddd0  0x205a90   0x801db1e0    0x801e2ea0    0x801e3150    0x801e3160    
0x00205d40  0x210fb0   0x801db1e0    0x801e6450    0x801e6930    0x801e6940    
0x00211490  0x225770   0x801db1e0    0x801ef4c0    0x801f0120    0x801f0230    
0x002263d0  0x230050   0x801db1e0    0x801e4e60    0x801e56d0    0x801e5740    
0x0023e630  0x24f750   0x8021df20    0x8022f040    0x8022fab0    0x8022fb50    
0x002308c0  0x239d80   0x8021df20    0x802273e0    0x8022bc90    0x8022bd40    
0x002501c0  0x2502a0   0x80300000    0x803000e0    0x80300160    0x80300230    
