         U __osLeoAbnormalResume
         U __osLeoResume
8002d6e0 W fsin
8002d6e0 W sinf
8002e8b0 W blkclr
8002e8b0 W bzero
800314e0 T __osSumcalc
80031554 T __osIdCheckSum
80031650 T __osRepairPackId
800319a0 T __osCheckPackId
80031b04 T __osGetId
800344f0 W bcmp
80034d00 W bcopy
80035810 W cosf
80035810 W fcos
80039230 D n_aspMainTextStart
80039e90 D gspF3DEX2_fifoTextStart
8003b220 D gspF3DEX2_fifoTextEnd
8003b220 D gspL3DEX2_fifoTextStart
8003c3b0 D gspL3DEX2_fifoTextEnd
8003c3b0 D gspS2DEX2_fifoTextStart
8003dc70 00000024 D mainSegOverlay
8003dc70 D gspS2DEX2_fifoTextEnd
8003dd30 00000004 D gScissorCallback
8003dd38 00000040 D identityMatrix
8003dd78 000000d0 D resetRDPDisplayList
8003e330 00001000 D lbreflect_Int16SinTable
8003f68c 00000080 D crashScreenGlyphTable
8003f70c 00000100 D gCrashScreenFont
8003f80c 00000048 D gCPUExceptionCauses
8003f854 00000018 D gFPUExceptionCauses
8003fb10 00000004 D n_alGlobals
8003fb14 00000004 D n_syn
8003fb30 D __osHwIntTable
8003fb50 00000008 D __osThreadTail
8003fb58 00000004 D __osRunQueue
8003fb5c 00000004 D __osActiveQueue
8003fb60 00000004 D __osRunningThread
8003fb64 00000004 D __osFaultedThread
8003fb70 00000004 D __osSiAccessQueueEnabled
8003fb80 00000004 D __osContinitialized
8003fb90 00000008 D osClockRate
8003fb98 00000004 D osViClock
8003fb9c 00000004 D __osShutdown
8003fba0 00000004 D __OSGlobalIntMask
8003fbb4 00000004 D __osPfsInodeCacheBank
8003fbc0 00000005 D __osPiDevMgr
8003fbf0 00000004 D __osPiAccessQueueEnabled
8003fc50 00000004 D __osTimerList
8003fc60 0000004e D osViModeNtscLan1
8003fcb0 0000004e D osViModeMpalLan1
8003fd60 00000004 D __osViCurr
8003fd64 00000004 D __osViNext
8003fd70 0000004e D osViModePalLan1
8003fe50 00000005 D __osViDevMgr
80041a30 00000080 D __osRcpImTable
80041b00 00000004 D __osIntOffTable
80041b20 00000004 D __osIntTable
80041cc0 00000004 D __libm_qnan_f
80041d40 D n_aspMainDataStart
80041ff0 D gspF3DEX2_fifoDataStart
80042410 D gspF3DEX2_fifoDataEnd
80042410 D gspL3DEX2_fifoDataStart
80042800 D gspL3DEX2_fifoDataEnd
80042800 D gspS2DEX2_fifoDataStart
80042b90 00000200 B gEntryStack
80042b90 D gspS2DEX2_fifoDataEnd
80042d90 000001b0 B gIdleThread
80042f40 00000100 B idleThreadStack
80043040 000001b0 B gMainThread
800431f0 00000400 B gMainThreadStack
800435f0 000001b0 B gAudioThread
800437a0 00000600 B gAudioThreadStack
80043da0 000001b0 B gGameThread
80043f50 00004000 B gGameThreadStack
80047f50 000001b0 B gControllerThread
80048100 00000800 B gThread6Stack
80048900 00000100 B gRSPBootUcode
